,QTY_TRACKED,MS1_Delta,MS2_Delta,MS3_Delta,PO_Delta,Schd_Rng,SOP-MS1_Delta,SOP-MS2_Delta,RAS-MS1_Delta,RAS-MS2_Delta,ETA-SCP_Delta
count,60448.0,60448.0,60448.0,60448.0,60448.0,60448.0,60448.0,60448.0,60448.0,60448.0,60448.0
mean,106.50406961355215,-4.995516807834833,-95.37547975119111,-96.15722604552673,2.2193620963472735,71.72986699311805,67.87766344626786,-22.502299497088405,83.34189716781366,-7.0380657755426155,81.23616993118051
std,3872.3196282173803,65.85298231101963,145.34819463799963,146.60301696502603,12.10780159540573,16.100967467088147,126.8547614391949,79.08565273287775,167.87296759992412,106.13502000018156,51.665550150740216
min,-2855.0,-1088.0,-1129.0,-1128.0,-231.0,36.0,-576.0,-607.0,-3214.0,-3208.0,-326.0
25%,1.0,0.0,-135.0,-139.0,0.0,79.0,0.0,-54.0,-16.0,-54.0,54.0
50%,1.0,0.0,-24.0,-24.0,0.0,79.0,30.0,-12.0,21.0,-12.0,70.0
75%,5.0,0.0,0.0,0.0,0.0,79.0,92.0,6.0,143.0,22.0,98.0
max,800000.0,773.0,421.0,421.0,470.0,130.0,941.0,429.0,998.0,743.0,502.0
