epoch,accuracy,loss,val_accuracy,val_loss
0,0.81374186,1.0890969509999808,0.8342432,1.0704663110232926
1,0.8133743,1.0895751294560672,0.82580644,1.07526310256338
2,0.81438524,1.0882088007643045,0.8329198,1.069227692940888
3,0.8145323,1.0878237036443175,0.82448304,1.0794790699424774
4,0.81427497,1.0884427856224927,0.82001656,1.0969897211238901
5,0.8128228,1.089792098950466,0.8208437,1.0788303202494203
6,0.8143301,1.0879702756280547,0.8254756,1.0773260081080587
7,0.81421983,1.0882264366965564,0.82646817,1.078390784397709
